userId,game_id,owned
4,2396,5
4,3632,5
4,5013,5
4,4923,5
4,3773,5
4,811,5
4,2081,5
4,562,5
4,559,5
4,1709,5
4,2495,5
4,3061,5
4,3074,5
4,1573,5
4,3505,5
4,3432,5
4,4969,5
4,2200,5
4,4071,5
4,172,5
4,1791,5
4,893,5
5,776,5
6,4358,5
7,3631,5
7,5116,5
7,2193,5
7,610,5
7,2280,5
7,226,5
7,2827,5
7,3688,5
7,55,5
7,1420,5
8,4792,5
9,4792,5
10,4358,5
11,4792,5
12,1540,5
13,1285,5
13,4358,5
13,559,5
14,332,5
15,4792,5
15,5026,5
15,481,5
16,4792,5
17,4792,5
17,286,5
17,610,5
17,2903,5
17,2454,5
17,4358,5
17,5122,5
17,187,5
17,3606,5
17,5087,5
17,2311,5
17,2434,5
17,3633,5
17,3306,5
17,2005,5
17,4381,5
17,3822,5
17,1121,5
17,1381,5
17,1380,5
17,116,5
17,787,5
17,4526,5
17,4787,5
17,932,5
17,2251,5
17,559,5
17,3950,5
17,2153,5
18,2396,5
19,4792,5
19,2251,5
20,55,5
20,1420,5
21,4792,5
22,1795,5
23,4792,5
24,286,5
24,5087,5
24,2350,5
24,559,5
25,448,5
25,12,5
26,4792,5
27,4792,5
28,4358,5
29,4792,5
30,559,5
30,4281,5
31,4792,5
32,559,5
33,1562,5
33,17,5
33,4544,5
33,386,5
33,4787,5
33,4418,5
33,127,5
33,2440,5
33,4358,5
33,4792,5
33,839,5
33,3517,5
33,4053,5
33,3891,5
33,2787,5
33,1384,5
33,1095,5
33,4127,5
33,2244,5
33,4025,5
33,1344,5
33,1456,5
33,1768,5
33,3623,5
33,4935,5
33,2190,5
33,5095,5
33,4355,5
33,1912,5
33,2815,5
33,2587,5
33,1304,5
33,2674,5
33,2613,5
33,5151,5
33,3972,5
33,4858,5
33,4473,5
33,2005,5
33,2062,5
33,3079,5
33,1030,5
33,602,5
33,4288,5
33,3298,5
33,3055,5
33,111,5
33,1887,5
33,901,5
33,922,5
33,4094,5
33,654,5
33,948,5
33,4835,5
33,218,5
33,3478,5
33,2698,5
33,5053,5
33,619,5
33,3432,5
33,2041,5
33,1403,5
33,3915,5
33,3619,5
33,4917,5
33,3209,5
33,2340,5
34,2705,5
34,2012,5
34,1062,5
34,3904,5
34,4406,5
35,4792,5
36,4792,5
37,4792,5
38,1333,5
38,4666,5
38,3606,5
38,373,5
38,2242,5
38,937,5
38,3489,5
38,2841,5
38,348,5
38,3859,5
38,2402,5
39,4792,5
40,3608,5
40,4060,5
41,4358,5
41,116,5
42,2808,5
42,3212,5
42,3791,5
42,1171,5
42,5051,5
42,1509,5
43,1233,5
44,4792,5
45,3212,5
45,3854,5
45,2808,5
45,760,5
45,226,5
45,2193,5
45,2458,5
45,2850,5
45,4432,5
45,1509,5
45,337,5
45,315,5
45,3791,5
45,1171,5
45,5051,5
46,286,5
46,559,5
46,3606,5
46,4854,5
46,4358,5
46,1640,5
46,5,5
46,897,5
46,1615,5
46,3568,5
46,177,5
46,2746,5
46,4281,5
47,4792,5
47,1599,5
48,3212,5
48,1171,5
48,5051,5
48,401,5
48,3896,5
48,1323,5
48,1509,5
48,451,5
49,1333,5
49,4428,5
49,2584,5
49,4807,5
49,2402,5
49,3944,5
50,675,5
50,3986,5
50,3229,5
50,2051,5
50,4808,5
50,231,5
50,1258,5
50,321,5
50,1102,5
50,3073,5
50,1074,5
50,477,5
50,1393,5
50,2029,5
50,2877,5
50,901,5
50,1304,5
50,3668,5
50,3957,5
50,4924,5
50,1325,5
50,2473,5
50,4905,5
50,1949,5
50,2549,5
50,2248,5
50,4094,5
50,3432,5
50,5128,5
50,685,5
50,3644,5
50,2694,5
50,4577,5
50,424,5
50,1418,5
50,4561,5
50,1913,5
50,1935,5
50,315,5
50,967,5
50,3291,5
50,2361,5
50,2445,5
50,4593,5
50,4767,5
50,4517,5
50,3922,5
50,1661,5
50,2674,5
50,839,5
50,1546,5
50,1016,5
50,4358,5
50,2787,5
50,2421,5
50,1912,5
50,3623,5
50,1456,5
50,3768,5
50,5084,5
50,5095,5
50,2201,5
50,3460,5
50,2085,5
50,2194,5
50,1768,5
50,2776,5
50,1483,5
50,811,5
50,4912,5
50,1037,5
50,5035,5
50,2848,5
50,356,5
50,2452,5
50,1512,5
50,597,5
50,233,5
50,378,5
50,3090,5
50,593,5
50,4675,5
50,257,5
50,3492,5
50,4211,5
50,342,5
50,111,5
50,2762,5
50,1795,5
50,197,5
50,4306,5
50,1415,5
50,1339,5
50,4210,5
50,3614,5
50,855,5
50,2351,5
50,4418,5
50,4061,5
50,2440,5
50,478,5
50,2712,5
50,2430,5
50,95,5
50,3689,5
50,2747,5
50,3107,5
50,138,5
50,2075,5
50,24,5
50,3163,5
50,1458,5
50,4199,5
50,2790,5
50,135,5
50,1821,5
50,292,5
50,3384,5
50,1871,5
50,2591,5
50,3911,5
50,1253,5
50,802,5
50,3272,5
50,1965,5
50,4258,5
50,2150,5
51,4792,5
52,4792,5
53,4358,5
53,3167,5
53,533,5
53,5087,5
54,4358,5
54,5012,5
54,1795,5
54,1333,5
54,2248,5
54,1118,5
54,471,5
54,915,5
54,4793,5
54,1580,5
54,4826,5
54,2718,5
54,1516,5
54,2787,5
54,2850,5
54,5014,5
54,2587,5
54,3294,5
54,4899,5
54,3536,5
54,3744,5
54,4126,5
54,414,5
54,3959,5
54,194,5
54,3836,5
54,2604,5
54,4956,5
54,3296,5
54,3073,5
54,2193,5
54,2124,5
54,1566,5
54,4264,5
54,3615,5
54,3666,5
54,625,5
54,3196,5
54,3667,5
54,3561,5
54,3104,5
54,5026,5
54,1282,5
54,1276,5
54,1717,5
54,687,5
54,3438,5
54,4288,5
54,944,5
54,1240,5
54,3118,5
54,2339,5
54,3363,5
54,1674,5
54,3390,5
54,1045,5
54,3572,5
54,4188,5
54,4441,5
54,3423,5
54,1586,5
54,1630,5
54,4263,5
54,1912,5
54,5116,5
54,2004,5
54,2382,5
54,2259,5
54,4808,5
54,2561,5
54,1573,5
54,4066,5
54,488,5
54,658,5
54,4561,5
54,3469,5
54,905,5
54,4417,5
54,5029,5
54,2919,5
54,585,5
54,793,5
54,3631,5
54,4094,5
54,226,5
54,4007,5
54,1170,5
54,1844,5
54,1860,5
54,3489,5
54,3970,5
54,1890,5
54,4013,5
54,4750,5
54,4034,5
54,2085,5
54,4059,5
54,3623,5
54,4068,5
54,855,5
54,4550,5
54,528,5
54,2500,5
54,503,5
54,5138,5
54,286,5
54,3024,5
54,1995,5
54,1016,5
54,2230,5
54,965,5
54,1388,5
54,1449,5
54,3863,5
54,4925,5
54,1434,5
54,1120,5
54,1019,5
54,2029,5
54,2131,5
54,1913,5
54,3401,5
54,4450,5
54,2674,5
54,3432,5
54,5095,5
54,3986,5
54,3806,5
54,4357,5
54,4994,5
54,3366,5
54,2313,5
54,3689,5
54,931,5
54,4636,5
54,3768,5
54,612,5
54,4630,5
54,3155,5
54,2747,5
54,332,5
54,4142,5
54,696,5
54,424,5
54,3349,5
54,4627,5
54,5143,5
54,1491,5
54,2280,5
54,1975,5
54,2229,5
54,4449,5
54,4792,5
54,3451,5
54,4004,5
54,2473,5
54,1074,5
54,3195,5
54,1620,5
54,294,5
54,420,5
54,401,5
54,95,5
54,3776,5
54,564,5
54,504,5
54,2367,5
54,1768,5
54,163,5
54,4720,5
54,3606,5
54,3692,5
54,568,5
54,3956,5
54,825,5
54,3179,5
54,3331,5
54,2816,5
54,559,5
54,370,5
54,4892,5
54,3668,5
54,967,5
54,2007,5
54,1135,5
54,4275,5
54,248,5
54,2986,5
54,2519,5
54,2696,5
54,4863,5
54,2978,5
54,2191,5
54,610,5
54,3448,5
54,1220,5
